Region,Site,Latitude,Longitude,RSL,Age,Age_err,RSL_err,AgeError,RSLError
North Carolina,Cedar Island,34.971,-76.38,-0.12,2005,2.25,0.06,2.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.14,1996,2,0.06,2,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.16,1988,5,0.06,5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.18,1979,5.75,0.06,5.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.19,1974,5.5,0.06,5.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.21,1963,5.5,0.06,5.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.22,1957,7,0.06,7,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.23,1951,7.75,0.06,7.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.26,1941,7.75,0.06,7.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.28,1937,8,0.06,8,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.29,1934,8,0.06,8,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.31,1930,8.25,0.06,8.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.32,1927,8,0.06,8,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.34,1923,7.5,0.06,7.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.36,1918,7,0.06,7,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.38,1913,5.75,0.06,5.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.39,1910,5.25,0.06,5.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.42,1898,6.75,0.06,6.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.44,1885,10.25,0.06,10.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.46,1874,12.75,0.06,12.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.48,1864,14,0.06,14,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.51,1846,14.75,0.06,14.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.52,1840,14,0.06,14,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.56,1790,16.5,0.06,16.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.58,1768,19.5,0.06,19.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.61,1736,23.75,0.06,23.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.62,1725,24.75,0.06,24.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.64,1697,26.25,0.06,26.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.66,1669,30.5,0.06,30.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.68,1653,29.5,0.06,29.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.69,1644,29,0.06,29,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.71,1626,26,0.06,26,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.73,1603,23.5,0.06,23.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.74,1590,23.25,0.06,23.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.76,1570,24.25,0.06,24.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.79,1543,25.25,0.06,25.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.81,1525,26,0.06,26,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.84,1490,25.5,0.06,25.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.86,1460,27.25,0.06,27.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.88,1436,30.5,0.06,30.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.91,1389,31,0.06,31,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.94,1340,39.75,0.06,39.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.97,1295,42,0.06,42,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.99,1267,44.25,0.06,44.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.06,1178,36,0.06,36,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.09,1159,36.5,0.06,36.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.11,1146,36.5,0.06,36.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.14,1121,38.75,0.06,38.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.16,1093,45.5,0.06,45.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.19,1068,53.75,0.06,53.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.21,1057,56.75,0.06,56.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.24,1038,61,0.06,61,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.26,983,62.25,0.06,62.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.29,883,65.75,0.06,65.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.31,825,65.5,0.06,65.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.34,745,60.75,0.06,60.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.39,659,60.25,0.06,60.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.42,625,62.25,0.06,62.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.44,605,62.25,0.06,62.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.47,572,61,0.06,61,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.92,1468,120.5,0.06,120.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-0.96,1408,85.75,0.06,85.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1,1354,20.25,0.06,20.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.04,1322,17.75,0.06,17.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.08,1287,19.75,0.06,19.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.12,1219,39.5,0.06,39.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.16,1155,43.75,0.06,43.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.2,1082,40.25,0.06,40.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.24,1002,50.5,0.06,50.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.28,941,51.5,0.06,51.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.31,895,49,0.06,49,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.33,860,44.75,0.06,44.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.35,818,45,0.06,45,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.37,789,44.75,0.06,44.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.39,763,43.75,0.06,43.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.42,725,41.25,0.06,41.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.46,672,36.75,0.06,36.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.5,623,15.25,0.06,15.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.54,604,18.5,0.06,18.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.58,586,26.25,0.06,26.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.62,568,32.25,0.06,32.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.66,505,64.75,0.06,64.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.7,434,75.25,0.06,75.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.73,381,78.5,0.06,78.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.75,346,79.5,0.06,79.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.77,312,79.75,0.06,79.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.79,278,78.5,0.06,78.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.82,229,74.5,0.06,74.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.86,153,55.5,0.06,55.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.9,100,37.25,0.06,37.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.94,73,35.5,0.06,35.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-1.98,46,33,0.06,33,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.02,15,27.5,0.06,27.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.06,-50,41,0.06,41,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.1,-112,42.5,0.06,42.5,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.12,-143,44,0.06,44,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.14,-174,46,0.06,46,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.16,-211,40.25,0.06,40.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.18,-270,26.25,0.06,26.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.2,-333,35,0.06,35,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.24,-525,65,0.06,65,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.28,-661,47.75,0.06,47.75,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.32,-731,36.25,0.06,36.25,0.06
North Carolina,Cedar Island,34.971,-76.38,-2.36,-800,65.25,0.06,65.25,0.06
